Path,Method,Constraint Violation Rate [%],Mean Position Error [m],Max Position Error [m],Mean Heading Error [deg],Travel Time [s]
path1_right_angle_90,DWPP for Diff-drive,0.0000,0.0124,0.0406,14.4871,16.0000
path1_right_angle_90,VP for Omni (min L),100.0000,0.0066,0.0403,14.1721,9.2000
path1_right_angle_90,VP for Omni (max L),100.0000,0.0233,0.1085,11.3639,8.2500
path1_right_angle_90,DWVP for Omni,0.0000,0.0076,0.0340,7.3975,12.2000
path2_straight_heading_step,DWPP for Diff-drive,0.0000,0.0013,0.0025,68.2500,11.9500
path2_straight_heading_step,VP for Omni (min L),100.0000,0.0264,0.1055,49.9558,16.4000
path2_straight_heading_step,VP for Omni (max L),100.0000,0.0210,0.1000,38.4333,14.2000
path2_straight_heading_step,DWVP for Omni,0.0000,0.0021,0.0048,17.6502,23.5000
path3_right_angle_90_last_heading_minus_pi,DWPP for Diff-drive,0.0000,0.0118,0.0406,19.8256,19.4000
path3_right_angle_90_last_heading_minus_pi,VP for Omni (min L),100.0000,0.0281,0.1091,23.4406,14.7500
path3_right_angle_90_last_heading_minus_pi,VP for Omni (max L),100.0000,0.0360,0.1099,13.7277,11.9000
path3_right_angle_90_last_heading_minus_pi,DWVP for Omni,0.0000,0.0067,0.0344,13.0917,15.6500
path4_one_minus_cos,DWPP for Diff-drive,0.0000,0.0137,0.0426,10.2079,51.4500
path4_one_minus_cos,VP for Omni (min L),100.0000,0.0126,0.1045,17.1559,32.0000
path4_one_minus_cos,VP for Omni (max L),100.0000,0.0205,0.1075,21.0470,29.4000
path4_one_minus_cos,DWVP for Omni,0.0000,0.0199,0.0566,13.3068,32.5500
