l_t [s],APP Violation [%],APP Mean err. [m],APP Max err. [m],APP Time [s],APP+DW Violation [%],APP+DW Mean err. [m],APP+DW Max err. [m],APP+DW Time [s]
0.6,31.3,1.04,3.37,42.4,0.0,0.04,0.20,26.3
0.8,68.2,0.29,0.76,25.3,0.0,0.02,0.14,24.2
1.0,74.8,0.29,0.77,24.8,0.0,0.02,0.12,24.1
1.2,49.1,0.17,0.62,21.5,0.0,0.02,0.12,23.8
1.4,31.3,0.13,0.55,20.0,0.0,0.03,0.12,23.3
1.6,26.6,0.14,0.50,19.3,0.0,0.04,0.17,23.6
1.8,23.1,0.16,0.52,18.6,0.0,0.07,0.24,23.9
2.0,0.6,0.19,0.57,18.1,0.0,0.11,0.36,24.2
2.2,0.6,0.23,0.69,17.8,0.0,0.18,0.66,25.3
2.4,0.6,0.27,0.79,17.5,0.0,0.20,0.66,26.8
2.6,0.6,0.29,0.87,17.2,0.0,0.25,0.70,21.6
2.8,0.6,0.31,0.90,16.7,0.0,0.22,0.77,19.8
3.0,0.6,0.30,0.87,16.0,0.0,0.19,0.86,18.7
