L [m],sigma=0 Mean err. [m],sigma=0 Max err. [m],sigma=0 Time [s],sigma=0.05 Mean err. [m],sigma=0.05 Max err. [m],sigma=0.05 Time [s],sigma=0.05 Reach
0.2,0.04,0.21,30.0,0.00,0.08,--,No
0.3,0.04,0.20,25.2,0.01,0.09,--,No
0.4,0.04,0.21,23.1,0.01,0.12,92.4,Yes
0.5,0.05,0.23,22.1,0.02,0.15,61.0,Yes
0.6,0.06,0.25,21.9,0.03,0.19,45.1,Yes
0.7,0.08,0.28,21.7,0.04,0.26,37.0,Yes
0.8,0.10,0.34,21.4,0.06,0.32,33.1,Yes
0.9,0.13,0.42,21.1,0.09,0.41,31.2,Yes
1.0,0.17,0.52,20.4,0.13,0.52,29.9,Yes
1.1,0.21,0.62,19.7,0.16,0.62,29.9,Yes
1.2,0.24,0.71,19.0,0.19,0.69,26.3,Yes
