sigma_xy [m],Controller,Violation [%],Mean err. [m],Max err. [m],Time [s],Reach [%]
0,PP,49.1,0.166,0.619,21.5,100
0,APP,31.3,0.132,0.548,20,100
0,RPP,27.5,0.0411,0.176,21.7,100
0,DWPP,0,0.0249,0.11,23.7,100
0.01,PP,67.9 +- 1.87,0.174 +- 0.00775,0.626 +- 0.00913,21.8 +- 0.254,100
0.01,APP,51.1 +- 1.46,0.131 +- 0.0012,0.549 +- 0.00902,20 +- 0.0779,100
0.01,RPP,47.1 +- 1.29,0.0412 +- 0.000969,0.18 +- 0.00492,21.7 +- 0.0888,100
0.01,DWPP,0 +- 0,0.023 +- 0.00114,0.114 +- 0.00317,26.4 +- 1.62,100
0.02,PP,81.4 +- 1.71,0.18 +- 0.0127,0.634 +- 0.0306,22 +- 0.445,100
0.02,APP,69.7 +- 1.89,0.13 +- 0.00243,0.552 +- 0.0153,20 +- 0.136,100
0.02,RPP,66.9 +- 1.92,0.0436 +- 0.00196,0.186 +- 0.00707,21.9 +- 0.13,100
0.02,DWPP,0 +- 0,0.0131 +- 0.00116,0.109 +- 0.0078,48 +- 4.89,100
0.05,PP,92.7 +- 1.17,0.184 +- 0.014,0.637 +- 0.0322,21.6 +- 0.591,100
0.05,APP,87.3 +- 1.34,0.131 +- 0.00556,0.566 +- 0.0239,19.9 +- 0.224,100
0.05,RPP,85 +- 1.47,0.0488 +- 0.00354,0.201 +- 0.0192,22.7 +- 0.592,100
0.05,DWPP,0 +- 0,0.00798 +- 0.000814,0.0945 +- 0.00806,120 +- 0,0
0.1,PP,96.2 +- 0.956,0.173 +- 0.0324,0.634 +- 0.0682,20.7 +- 1.46,100
0.1,APP,93.1 +- 1.03,0.14 +- 0.0118,0.581 +- 0.0447,19.8 +- 0.462,100
0.1,RPP,91.1 +- 0.891,0.0499 +- 0.00545,0.194 +- 0.0355,22.3 +- 0.751,100
0.1,DWPP,0 +- 0,0.00762 +- 0.00118,0.195 +- 0.036,120 +- 0,0
