R_min [m],RPP Violation [%],RPP Mean err. [m],RPP Max err. [m],RPP Time [s],DWPP Violation [%],DWPP Mean err. [m],DWPP Max err. [m],DWPP Time [s]
0.3,31.3,0.13,0.55,20.0,0.0,0.03,0.12,23.3
0.489,32.0,0.04,0.18,21.2,0.0,0.03,0.12,23.3
0.678,28.2,0.04,0.18,21.5,0.0,0.03,0.11,23.3
0.867,27.4,0.04,0.18,21.6,0.0,0.02,0.11,23.6
1.06,26.8,0.04,0.18,21.8,0.0,0.02,0.11,23.9
1.24,26.6,0.04,0.18,22.0,0.0,0.02,0.11,23.9
1.43,26.8,0.04,0.19,22.2,0.0,0.02,0.11,24.0
1.62,26.9,0.05,0.20,22.4,0.0,0.02,0.11,24.0
1.81,27.2,0.05,0.22,22.9,0.0,0.02,0.11,24.1
2.0,27.8,0.05,0.22,23.1,0.0,0.02,0.11,24.2
