path,controller,seed,sigma_xy,sigma_yaw,reached_goal,steps,travel_time,mean_error,max_error,violation_ratio
PathA,PP,0,0,0,True,577,19.2333333,0.0132458522,0.0885371148,7.45233969
PathA,APP,0,0,0,True,576,19.2,0.017518704,0.102615884,5.03472222
PathA,RPP,0,0,0,True,576,19.2,0.017518704,0.102615884,5.03472222
PathA,DWPP,0,0,0,True,576,19.2,0.017518537,0.102615884,0
PathB,PP,0,0,0,True,574,19.1333333,0.0373545182,0.159811186,21.2543554
PathB,APP,0,0,0,True,563,18.7666667,0.0372026222,0.132752489,15.2753108
PathB,RPP,0,0,0,True,604,20.1333333,0.0313897363,0.150011714,13.2450331
PathB,DWPP,0,0,0,True,642,21.4,0.0248712164,0.131790011,0
PathC,PP,0,0,0,True,646,21.5333333,0.165858712,0.619183809,58.9783282
PathC,APP,0,0,0,True,600,20,0.132109541,0.548475426,45
PathC,RPP,0,0,0,True,651,21.7,0.0411178452,0.175994134,39.4777266
PathC,DWPP,0,0,0,True,711,23.7,0.0249495194,0.110374586,0
