L [m],sigma=0 Mean err. [m],sigma=0 Max err. [m],sigma=0 Time [s],sigma=0.05 Mean err. [m],sigma=0.05 Max err. [m],sigma=0.05 Time [s],sigma=0.05 Reach
0.2,0.04,0.21,30.0,0.00+-0.00,0.08+-0.01,--,No
0.3,0.04,0.20,25.2,0.01+-0.00,0.09+-0.01,--,No
0.4,0.04,0.21,23.1,0.01+-0.00,0.12+-0.01,92.4+-4.4,Yes
0.5,0.05,0.23,22.1,0.02+-0.00,0.15+-0.01,61.0+-3.3,Yes
0.6,0.06,0.25,21.9,0.03+-0.00,0.19+-0.01,45.1+-2.8,Yes
0.7,0.08,0.28,21.7,0.04+-0.00,0.26+-0.01,37.0+-1.9,Yes
0.8,0.10,0.34,21.4,0.06+-0.00,0.32+-0.02,33.1+-1.5,Yes
0.9,0.13,0.42,21.1,0.09+-0.00,0.41+-0.01,31.2+-1.3,Yes
1.0,0.17,0.52,20.4,0.13+-0.01,0.52+-0.02,29.9+-2.1,Yes
1.1,0.21,0.62,19.7,0.16+-0.01,0.62+-0.01,29.9+-1.8,Yes
1.2,0.24,0.71,19.0,0.19+-0.01,0.69+-0.03,26.3+-1.9,Yes
