sigma_xy [m],Controller,Violation [%],Mean err. [m],Max err. [m],Time [s],Reach
0,PP,49.1,0.17,0.62,21.5,Yes
0,APP,31.3,0.13,0.55,20.0,Yes
0,RPP,27.5,0.04,0.18,21.7,Yes
0,DWPP,0.0,0.02,0.11,23.7,Yes
0.01,PP,68.3 +- 1.7,0.17 +- 0.01,0.62 +- 0.01,21.8 +- 0.2,Yes
0.01,APP,51.8 +- 1.5,0.13 +- 0.00,0.55 +- 0.01,20.0 +- 0.1,Yes
0.01,RPP,47.9 +- 1.3,0.04 +- 0.00,0.18 +- 0.01,21.7 +- 0.1,Yes
0.01,DWPP,0.0 +- 0.0,0.02 +- 0.00,0.11 +- 0.00,26.4 +- 1.3,Yes
0.02,PP,81.7 +- 1.9,0.18 +- 0.01,0.63 +- 0.03,22.0 +- 0.5,Yes
0.02,APP,70.6 +- 1.7,0.13 +- 0.00,0.55 +- 0.02,20.0 +- 0.1,Yes
0.02,RPP,67.8 +- 1.7,0.04 +- 0.00,0.19 +- 0.01,21.9 +- 0.1,Yes
0.02,DWPP,0.0 +- 0.0,0.01 +- 0.00,0.10 +- 0.01,48.8 +- 5.5,Yes
0.05,PP,92.8 +- 1.2,0.19 +- 0.01,0.64 +- 0.04,21.7 +- 0.6,Yes
0.05,APP,87.5 +- 1.2,0.13 +- 0.00,0.57 +- 0.02,19.9 +- 0.2,Yes
0.05,RPP,85.4 +- 1.1,0.05 +- 0.00,0.20 +- 0.02,22.6 +- 0.5,Yes
0.05,DWPP,0.0 +- 0.0,0.01 +- 0.00,0.09 +- 0.01,--,No
0.1,PP,96.3 +- 0.7,0.18 +- 0.03,0.63 +- 0.06,20.8 +- 1.2,Yes
0.1,APP,93.4 +- 0.8,0.14 +- 0.01,0.58 +- 0.04,19.8 +- 0.4,Yes
0.1,RPP,91.4 +- 0.7,0.05 +- 0.01,0.19 +- 0.04,22.4 +- 0.8,Yes
0.1,DWPP,0.0 +- 0.0,0.01 +- 0.00,0.20 +- 0.04,--,No
